CGPA,Internship,Paid_Internship,Projects,Workshop_Certification,Aptitude_Score,Skills_Rating,Placement_Training,SSC_Marks,Gender,Placement_Status
9.6,1,0,2,6,49.4,7.93,Attended,80.51,Female,Placed
8.54,2,1,3,8,84.68,7.52,Attended,74.89,Female,Placed
7.94,1,1,5,6,57.05,6.25,Attended,77.32,Female,Placed
6.63,1,1,4,5,71.22,7.22,Attended,60.43,Female,Placed
6.88,0,0,4,8,62.02,6.31,Not Attended,77.97,Male,Placed
8.0,1,0,3,5,94.28,7.58,Attended,88.7,Female,Placed
7.69,2,1,3,1,77.73,6.62,Not Attended,83.01,Male,Not Placed
6.36,1,1,4,0,84.84,5.34,Attended,80.56,Male,Not Placed
9.27,1,0,3,4,50.87,9.8,Attended,78.4,Male,Placed
7.86,0,0,3,1,75.96,3.73,Attended,85.63,Male,Not Placed
6.66,1,1,1,0,46.1,6.3,Attended,61.92,Male,Not Placed
8.82,1,0,3,5,64.75,7.41,Not Attended,80.95,Male,Placed
7.14,0,0,4,5,56.44,5.74,Attended,92.41,Male,Placed
6.9,1,0,5,8,68.64,7.82,Not Attended,78.16,Male,Placed
7.65,1,1,5,3,53.65,2.22,Not Attended,83.48,Male,Not Placed
6.0,1,0,1,3,60.77,2.8,Not Attended,68.24,Female,Not Placed
7.56,1,0,4,7,82.85,8.0,Attended,72.82,Female,Placed
6.81,1,0,4,3,41.52,5.26,Attended,87.22,Male,Not Placed
6.51,0,0,4,0,46.37,3.76,Not Attended,88.82,Male,Not Placed
7.44,0,0,1,7,90.12,7.8,Attended,60.0,Male,Placed
6.69,0,0,3,8,51.19,8.85,Attended,77.13,Female,Placed
7.08,0,0,2,6,53.65,5.48,Attended,78.66,Female,Placed
9.87,1,0,5,7,76.78,5.57,Attended,84.82,Male,Placed
9.08,0,0,3,5,61.57,4.98,Attended,62.33,Female,Placed
9.22,0,0,4,6,67.31,7.44,Attended,81.95,Male,Placed
8.09,1,0,3,6,69.29,5.37,Attended,88.05,Male,Placed
7.78,0,0,3,6,42.89,7.84,Attended,77.46,Male,Placed
7.56,0,0,2,0,89.43,6.42,Not Attended,63.77,Female,Not Placed
9.42,0,0,4,8,74.66,6.01,Attended,94.7,Female,Placed
6.23,0,0,5,0,64.82,6.09,Not Attended,77.22,Male,Not Placed
7.18,0,0,5,8,43.16,7.98,Attended,62.61,Male,Placed
6.58,1,0,5,5,46.6,7.16,Attended,69.64,Male,Placed
6.46,1,1,2,2,42.56,5.42,Not Attended,95.0,Male,Not Placed
8.49,0,0,4,7,71.12,8.24,Not Attended,70.01,Female,Placed
7.55,1,0,4,4,68.61,7.19,Attended,84.17,Female,Placed
8.77,0,0,3,6,83.19,6.79,Attended,78.04,Female,Placed
9.65,1,0,3,5,85.23,6.59,Attended,71.97,Male,Placed
8.01,0,0,4,6,79.69,8.19,Attended,85.58,Male,Placed
7.93,1,1,5,5,86.52,6.67,Attended,67.23,Male,Placed
8.64,0,0,5,8,87.34,6.96,Attended,79.34,Male,Placed
7.22,0,0,1,5,80.36,6.81,Attended,73.35,Female,Placed
7.52,0,0,5,5,79.74,5.23,Not Attended,77.92,Male,Placed
6.41,1,1,3,2,21.57,5.08,Not Attended,92.67,Female,Not Placed
8.1,0,0,3,1,92.12,6.92,Attended,78.46,Male,Not Placed
7.35,0,0,5,2,91.19,3.42,Not Attended,65.56,Male,Not Placed
7.73,0,0,1,6,98.58,7.14,Attended,60.0,Male,Placed
7.02,2,0,2,1,73.2,5.15,Attended,73.73,Male,Not Placed
8.81,1,0,5,5,59.52,9.53,Attended,63.81,Female,Placed
6.46,0,0,3,0,30.2,5.68,Not Attended,83.69,Male,Not Placed
8.11,0,0,1,1,51.83,5.4,Not Attended,64.63,Male,Not Placed
6.79,0,0,3,7,67.09,8.42,Attended,79.59,Female,Placed
7.13,0,0,5,6,73.48,7.96,Attended,68.25,Male,Placed
8.93,0,0,4,7,75.56,6.57,Attended,74.6,Female,Placed
6.08,2,0,3,7,84.44,6.44,Attended,60.0,Male,Placed
6.03,1,1,3,2,72.04,7.25,Not Attended,67.65,Male,Not Placed
8.56,0,0,4,5,58.13,7.51,Not Attended,61.89,Male,Placed
6.0,0,0,5,0,45.3,7.4,Attended,67.94,Male,Not Placed
8.98,0,0,2,5,42.04,6.32,Attended,69.42,Male,Placed
7.54,1,1,4,6,53.15,7.97,Not Attended,80.59,Male,Placed
8.91,1,0,4,5,64.52,3.6,Attended,75.7,Male,Placed
7.42,2,1,3,8,69.31,5.93,Attended,62.97,Male,Placed
7.3,0,0,4,8,81.47,6.31,Not Attended,83.14,Male,Placed
9.21,1,0,3,6,70.95,9.19,Attended,77.1,Male,Placed
6.0,1,0,2,1,75.18,4.49,Not Attended,67.28,Male,Not Placed
8.36,1,1,1,5,90.12,6.61,Attended,83.99,Male,Placed
7.16,1,0,1,5,72.68,6.77,Attended,71.51,Male,Placed
7.1,0,0,3,2,87.35,6.72,Not Attended,82.87,Male,Not Placed
6.02,1,0,3,4,0.65,4.12,Not Attended,77.85,Female,Not Placed
8.64,0,0,3,5,82.88,6.25,Attended,75.49,Female,Placed
6.9,0,0,4,7,67.7,7.65,Not Attended,82.36,Male,Placed
7.71,1,0,4,2,63.19,5.11,Not Attended,82.34,Male,Not Placed
6.67,0,0,3,1,69.33,8.28,Not Attended,69.3,Male,Not Placed
7.81,0,0,5,6,66.26,5.46,Attended,73.66,Male,Placed
6.31,0,0,4,5,74.65,6.65,Attended,60.01,Male,Placed
7.59,0,0,4,5,55.16,8.25,Attended,81.49,Male,Placed
6.89,1,0,5,5,55.86,7.07,Not Attended,80.93,Male,Placed
8.25,0,0,1,1,65.59,5.03,Not Attended,60.0,Male,Not Placed
8.14,1,0,3,5,57.41,7.07,Attended,83.24,Male,Placed
6.59,0,0,1,1,53.33,5.97,Attended,82.66,Male,Not Placed
8.67,0,0,4,8,63.97,5.52,Not Attended,93.98,Male,Placed
6.14,1,0,5,7,60.4,7.34,Attended,72.14,Male,Placed
8.62,1,0,4,5,56.28,7.53,Attended,73.55,Male,Placed
8.25,1,1,4,7,97.56,5.23,Attended,81.89,Male,Placed
6.92,0,0,1,2,75.9,7.63,Attended,69.34,Male,Not Placed
6.49,1,1,2,3,75.54,7.61,Not Attended,81.91,Female,Not Placed
7.97,0,0,4,5,80.95,7.0,Attended,76.55,Male,Placed
8.08,0,0,3,6,90.87,7.22,Attended,81.47,Male,Placed
8.4,1,0,3,7,75.42,6.15,Attended,66.1,Male,Placed
8.1,0,0,3,6,98.41,4.47,Attended,79.81,Female,Placed
6.04,0,0,4,8,59.1,7.55,Not Attended,61.99,Male,Placed
7.48,0,0,5,7,50.11,5.27,Attended,80.86,Male,Placed
7.1,0,0,5,7,30.76,6.97,Attended,63.89,Female,Placed
7.36,1,1,1,2,57.49,5.87,Attended,63.58,Female,Not Placed
7.98,0,0,5,5,44.12,4.57,Not Attended,60.36,Female,Placed
8.47,0,0,4,7,76.65,7.38,Attended,86.38,Male,Placed
8.55,2,1,4,7,89.49,8.25,Attended,94.42,Female,Placed
8.53,1,0,3,7,85.67,8.55,Attended,90.39,Male,Placed
7.75,1,0,5,5,69.85,6.67,Attended,76.1,Male,Placed
7.15,1,0,1,0,45.63,6.33,Not Attended,72.43,Male,Not Placed
7.59,0,0,1,0,40.85,7.09,Not Attended,75.12,Male,Not Placed
7.83,0,0,5,6,79.04,8.27,Attended,73.08,Male,Placed
8.48,0,0,3,6,66.6,4.8,Not Attended,68.18,Male,Placed
7.84,2,0,3,6,57.1,5.27,Attended,69.02,Male,Placed
8.14,1,1,3,6,75.21,8.94,Attended,69.49,Female,Placed
6.94,1,0,4,6,92.3,5.1,Not Attended,80.53,Male,Placed
7.17,1,0,5,2,55.45,3.72,Not Attended,60.0,Male,Not Placed
6.0,0,0,3,1,76.13,4.7,Attended,81.2,Male,Not Placed
8.67,0,0,4,6,51.69,7.64,Attended,72.66,Female,Placed
6.98,0,0,1,3,68.22,6.86,Not Attended,91.18,Male,Not Placed
6.17,0,0,2,4,40.45,6.0,Not Attended,80.42,Male,Not Placed
7.9,1,0,5,7,89.81,7.52,Attended,83.62,Male,Placed
7.19,0,0,4,7,48.12,10.0,Attended,68.85,Male,Placed
7.56,0,0,5,8,100.0,9.56,Attended,75.93,Female,Placed
7.86,0,0,2,1,74.34,4.53,Attended,71.13,Male,Not Placed
7.2,0,0,4,2,60.11,7.87,Not Attended,60.0,Male,Not Placed
8.06,0,0,3,7,55.42,6.95,Attended,89.0,Male,Placed
8.19,0,0,1,2,67.99,4.63,Attended,77.53,Male,Not Placed
6.85,1,1,5,6,54.48,7.0,Attended,81.9,Female,Placed
9.76,1,0,4,8,59.43,5.42,Attended,68.69,Male,Placed
8.87,1,0,3,6,64.59,7.49,Not Attended,82.38,Female,Placed
7.68,0,0,3,7,100.0,4.98,Attended,74.84,Male,Placed
7.71,0,0,4,8,71.89,3.45,Attended,73.44,Male,Placed
6.15,1,0,1,5,54.69,7.45,Attended,61.69,Male,Placed
6.48,0,0,5,5,61.89,9.54,Attended,72.79,Male,Placed
6.0,0,0,2,2,58.43,7.29,Not Attended,71.38,Female,Not Placed
8.08,1,0,4,5,80.72,6.18,Not Attended,80.24,Female,Placed
7.7,2,1,5,5,52.74,8.33,Attended,75.65,Male,Placed
8.32,1,0,5,8,87.74,8.39,Attended,66.87,Male,Placed
6.48,0,0,1,3,54.06,6.0,Not Attended,67.95,Male,Not Placed
8.18,0,0,3,7,67.39,5.93,Attended,70.42,Male,Placed
6.95,0,0,4,7,87.86,9.57,Not Attended,75.46,Female,Placed
6.19,0,0,3,3,59.03,4.12,Not Attended,60.0,Male,Not Placed
8.53,1,1,4,6,72.0,6.08,Attended,78.85,Male,Placed
7.52,0,0,4,5,69.71,6.99,Attended,75.11,Male,Placed
6.0,0,0,2,0,56.29,5.31,Not Attended,91.28,Male,Not Placed
9.3,0,0,5,6,79.35,7.42,Attended,74.63,Male,Placed
7.92,1,1,3,7,78.11,8.99,Attended,73.36,Male,Placed
6.11,0,0,4,5,73.77,9.87,Attended,70.37,Male,Placed
10.0,1,1,5,5,75.57,6.42,Attended,85.2,Female,Placed
7.75,0,0,5,7,83.32,6.54,Not Attended,77.92,Male,Placed
9.89,2,0,4,7,88.77,7.88,Attended,91.87,Female,Placed
8.3,1,1,3,6,56.32,6.33,Attended,82.07,Male,Placed
7.78,1,0,5,4,66.4,6.53,Attended,74.09,Male,Placed
8.78,0,0,2,3,60.02,8.41,Not Attended,79.06,Male,Not Placed
7.31,1,0,5,5,57.94,7.29,Attended,77.4,Male,Placed
8.15,0,0,5,7,69.28,4.73,Attended,70.08,Male,Placed
8.7,1,1,1,4,56.14,7.48,Not Attended,69.35,Female,Not Placed
7.1,0,0,2,2,62.44,4.71,Not Attended,94.74,Male,Not Placed
8.48,1,0,5,7,100.0,5.05,Not Attended,91.88,Female,Placed
7.43,0,0,2,2,66.59,5.05,Not Attended,81.14,Male,Not Placed
7.92,0,0,4,6,51.67,6.6,Attended,60.0,Female,Placed
10.0,1,0,5,4,66.87,7.04,Attended,80.21,Male,Placed
6.62,0,0,1,1,78.66,7.35,Attended,79.83,Male,Not Placed
8.88,1,0,5,5,80.17,5.54,Attended,73.04,Male,Placed
7.9,1,1,4,8,47.26,4.93,Attended,61.99,Male,Placed
10.0,0,0,1,7,56.75,7.18,Attended,78.81,Male,Placed
6.99,1,1,3,6,87.01,6.13,Attended,77.12,Male,Placed
6.5,0,0,3,7,74.16,8.4,Attended,81.45,Female,Placed
6.0,1,0,3,2,28.5,6.29,Attended,65.61,Male,Not Placed
7.8,2,0,3,6,42.02,6.21,Not Attended,68.37,Female,Placed
8.93,0,0,1,2,46.61,4.84,Not Attended,60.0,Male,Not Placed
9.65,0,0,3,6,52.28,6.15,Attended,68.1,Male,Placed
6.7,0,0,5,0,35.87,7.78,Not Attended,60.0,Male,Not Placed
10.0,1,1,5,7,94.77,6.55,Not Attended,64.86,Female,Placed
6.37,0,0,3,1,73.3,3.49,Not Attended,85.69,Male,Not Placed
7.21,0,0,4,6,83.92,8.48,Attended,82.5,Male,Placed
6.0,0,0,4,6,64.69,6.36,Attended,68.46,Female,Placed
8.22,0,0,1,5,73.75,4.34,Attended,82.99,Male,Placed
6.39,0,0,1,3,62.77,8.16,Attended,79.65,Male,Not Placed
7.5,0,0,2,0,54.07,5.56,Attended,81.6,Female,Not Placed
9.32,2,0,1,6,70.27,4.91,Attended,77.73,Female,Placed
8.03,0,0,5,8,50.93,6.88,Attended,60.5,Male,Placed
7.94,0,0,2,7,82.75,8.14,Not Attended,70.17,Male,Placed
8.88,1,0,4,8,64.75,8.64,Not Attended,77.09,Male,Placed
8.67,1,1,3,5,65.58,7.43,Attended,79.18,Male,Placed
7.27,0,0,2,1,47.19,4.34,Not Attended,81.49,Male,Not Placed
6.86,0,0,3,3,48.09,5.09,Not Attended,86.81,Male,Not Placed
6.0,0,0,4,5,62.6,5.35,Attended,84.11,Male,Placed
9.2,0,0,4,8,80.93,6.03,Attended,81.51,Male,Placed
7.57,0,0,1,6,94.1,5.06,Attended,77.78,Male,Placed
6.85,0,0,3,6,100.0,7.02,Attended,74.97,Male,Placed
8.08,1,0,3,6,77.92,7.58,Attended,73.71,Male,Placed
8.04,0,0,3,7,79.21,6.85,Not Attended,79.35,Male,Placed
7.36,1,0,3,4,73.14,5.93,Not Attended,74.24,Male,Not Placed
7.25,0,0,3,6,100.0,8.38,Attended,79.02,Female,Placed
8.24,0,0,3,5,58.79,5.29,Attended,75.48,Male,Placed
6.0,2,1,2,3,37.78,5.82,Not Attended,70.16,Male,Not Placed
8.0,0,0,5,5,100.0,7.27,Attended,73.48,Female,Placed
8.43,0,0,4,8,76.03,6.52,Attended,73.22,Female,Placed
8.93,0,0,4,8,41.2,3.71,Attended,74.76,Male,Placed
9.73,0,0,5,8,57.37,5.93,Attended,83.98,Male,Placed
7.03,0,0,2,2,66.09,6.18,Not Attended,70.58,Male,Not Placed
7.3,0,0,4,3,55.38,7.26,Not Attended,71.32,Male,Not Placed
7.76,0,0,1,1,76.3,5.13,Not Attended,67.9,Male,Not Placed
8.81,0,0,4,8,63.46,9.8,Attended,89.36,Male,Placed
7.58,0,0,2,1,73.61,4.25,Attended,79.66,Male,Not Placed
8.47,1,1,5,6,50.14,6.61,Attended,77.4,Male,Placed
8.12,0,0,4,5,70.42,7.66,Attended,62.76,Male,Placed
7.91,1,0,5,7,79.1,8.59,Attended,73.49,Female,Placed
7.97,1,0,4,8,57.94,8.13,Attended,77.97,Female,Placed
7.28,0,0,4,7,91.43,7.31,Not Attended,70.46,Male,Placed
9.68,1,0,3,1,39.85,5.49,Not Attended,75.47,Male,Not Placed
7.52,0,0,1,1,73.26,3.21,Not Attended,95.0,Female,Not Placed
7.38,1,1,2,5,73.95,6.92,Not Attended,75.6,Male,Placed
7.82,0,0,4,6,41.75,10.0,Attended,71.26,Male,Placed
7.24,2,0,5,8,77.66,7.8,Attended,87.44,Male,Placed
9.07,0,0,4,7,80.17,6.43,Attended,87.26,Male,Placed
8.92,1,0,3,7,83.49,6.75,Attended,74.17,Male,Placed
6.0,0,0,1,2,61.32,4.31,Not Attended,65.74,Male,Not Placed
6.37,1,0,5,6,70.7,9.54,Attended,77.01,Male,Placed
8.84,1,0,5,6,37.36,7.96,Attended,71.72,Male,Placed
6.82,1,0,4,6,62.37,7.31,Attended,85.84,Female,Placed
7.07,1,0,3,2,74.56,5.81,Attended,85.19,Female,Not Placed
7.24,1,0,2,3,47.2,7.3,Not Attended,80.93,Male,Not Placed
7.02,0,0,1,2,46.51,5.56,Not Attended,95.0,Male,Not Placed
6.2,1,0,1,2,95.05,6.33,Not Attended,71.89,Female,Not Placed
7.62,1,0,5,8,78.36,8.27,Attended,76.4,Male,Placed
7.07,0,0,5,7,64.33,6.05,Attended,72.86,Male,Placed
8.2,0,0,5,8,45.9,8.13,Not Attended,60.0,Female,Placed
7.52,1,0,3,7,72.39,5.3,Attended,63.19,Female,Placed
9.53,1,1,4,7,98.81,6.15,Attended,80.2,Male,Placed
7.2,0,0,3,7,58.32,8.51,Attended,78.21,Male,Placed
8.22,1,0,3,6,62.72,10.0,Attended,72.3,Male,Placed
7.81,0,0,3,5,64.22,6.37,Attended,88.6,Male,Placed
7.83,1,0,4,8,66.88,8.02,Attended,69.61,Female,Placed
6.4,1,0,5,0,44.12,7.35,Not Attended,60.0,Male,Not Placed
7.92,1,0,4,7,88.03,8.13,Attended,60.0,Male,Placed
6.0,2,0,5,6,70.69,8.17,Not Attended,63.71,Male,Placed
7.11,1,1,3,6,25.95,6.46,Attended,80.26,Female,Placed
7.65,1,1,4,6,75.09,8.8,Not Attended,72.12,Female,Placed
7.85,1,1,4,8,96.84,5.31,Attended,79.14,Female,Placed
9.31,1,0,3,8,70.27,5.58,Attended,75.51,Male,Placed
7.45,0,0,5,8,72.41,9.65,Attended,92.26,Male,Placed
9.53,0,0,4,7,76.45,7.65,Attended,73.15,Male,Placed
7.26,0,0,5,8,63.16,5.8,Attended,67.0,Male,Placed
7.63,0,0,2,6,86.9,5.11,Attended,79.3,Male,Placed
6.42,1,0,3,7,68.74,4.97,Attended,75.83,Male,Placed
8.58,1,0,3,6,60.57,9.6,Attended,69.07,Female,Placed
8.0,1,0,5,8,72.64,6.65,Attended,65.56,Male,Placed
8.8,0,0,2,2,27.09,7.04,Not Attended,91.75,Male,Not Placed
8.05,1,0,5,8,44.24,9.34,Not Attended,90.25,Male,Placed
7.84,0,0,4,7,74.36,7.58,Not Attended,60.0,Male,Placed
8.16,0,0,3,7,66.82,5.78,Not Attended,70.25,Male,Placed
9.13,0,0,3,2,58.94,4.62,Not Attended,69.36,Male,Not Placed
6.46,0,0,1,1,86.75,3.88,Not Attended,63.61,Female,Not Placed
6.06,1,0,1,2,62.42,7.08,Not Attended,76.73,Male,Not Placed
6.53,1,1,2,4,70.87,4.36,Attended,84.31,Male,Not Placed
8.55,0,0,4,7,79.71,5.46,Not Attended,70.84,Male,Placed
6.44,0,0,4,2,43.72,4.99,Not Attended,61.0,Male,Not Placed
6.26,1,1,3,8,58.28,7.71,Attended,76.78,Male,Placed
8.15,1,0,3,6,44.54,6.55,Attended,61.87,Male,Placed
7.1,2,0,4,5,52.14,7.81,Not Attended,76.73,Male,Placed
9.43,0,0,4,6,71.12,6.74,Attended,66.19,Male,Placed
6.85,1,0,2,3,62.84,5.42,Attended,64.56,Female,Not Placed
7.84,0,0,4,8,73.44,5.74,Attended,60.0,Female,Placed
6.39,0,0,2,1,68.6,7.53,Attended,62.45,Male,Not Placed
6.72,1,0,3,7,45.71,6.02,Attended,76.38,Female,Placed
7.3,0,0,3,7,62.01,7.0,Not Attended,69.51,Male,Placed
8.58,1,0,3,7,77.74,6.1,Attended,81.42,Male,Placed
6.25,1,0,5,5,58.04,6.42,Not Attended,67.3,Male,Placed
8.84,0,0,3,3,55.52,5.63,Attended,70.97,Female,Not Placed
6.87,0,0,3,8,60.84,5.62,Attended,60.43,Male,Placed
9.18,1,0,3,7,58.01,7.85,Attended,91.61,Female,Placed
6.82,1,0,3,4,90.04,5.12,Attended,76.06,Female,Not Placed
6.58,0,0,5,6,80.26,7.68,Attended,68.96,Female,Placed
6.86,0,0,1,3,53.23,5.43,Not Attended,70.47,Female,Not Placed
8.58,0,0,3,7,53.64,8.11,Not Attended,62.67,Female,Placed
7.63,1,0,4,8,77.02,6.7,Attended,86.54,Male,Placed
8.27,0,0,5,5,80.97,5.35,Attended,72.42,Female,Placed
7.66,1,0,1,6,98.99,5.11,Attended,87.24,Male,Placed
8.96,0,0,4,6,79.33,5.59,Attended,78.14,Male,Placed
7.44,0,0,2,3,35.21,6.22,Attended,60.0,Male,Not Placed
6.45,0,0,1,4,65.44,2.1,Not Attended,60.0,Male,Not Placed
6.95,0,0,2,3,37.06,8.46,Not Attended,69.55,Male,Not Placed
6.81,0,0,5,6,60.71,5.85,Attended,73.44,Male,Placed
9.32,0,0,4,7,67.95,7.16,Attended,88.52,Male,Placed
10.0,1,0,3,7,82.94,6.95,Attended,68.76,Male,Placed
7.62,0,0,5,8,75.17,6.09,Attended,86.38,Male,Placed
6.96,1,0,1,0,44.91,4.27,Not Attended,73.25,Male,Not Placed
8.68,1,0,3,5,63.01,7.53,Not Attended,89.02,Male,Placed
8.84,0,0,4,7,55.69,7.97,Not Attended,68.18,Male,Placed
8.15,1,0,4,7,62.04,6.81,Attended,78.88,Male,Placed
6.74,1,0,3,1,65.6,3.86,Not Attended,89.25,Female,Not Placed
9.57,0,0,4,7,55.54,7.33,Attended,77.2,Male,Placed
8.86,0,0,3,6,66.75,7.22,Attended,62.17,Female,Placed
8.45,1,0,5,7,72.03,5.91,Attended,71.36,Male,Placed
7.31,1,0,5,7,62.93,7.48,Attended,66.67,Female,Placed
7.95,0,0,5,7,82.56,10.0,Attended,67.46,Female,Placed
6.25,1,0,4,7,73.19,7.99,Attended,74.68,Male,Placed
8.87,1,0,4,8,66.21,9.26,Attended,91.45,Female,Placed
8.75,0,0,5,8,66.0,4.81,Attended,66.64,Female,Placed
7.67,0,0,2,3,66.22,6.12,Not Attended,77.65,Male,Not Placed
8.19,0,0,1,3,80.43,6.45,Not Attended,64.97,Male,Not Placed
8.54,1,0,4,5,70.2,7.66,Not Attended,67.93,Female,Placed
8.44,0,0,4,5,58.62,7.74,Attended,71.76,Male,Placed
7.25,1,0,4,6,59.6,6.59,Attended,92.14,Female,Placed
8.86,0,0,4,6,66.02,8.32,Attended,77.68,Female,Placed
8.14,0,0,5,7,62.4,4.47,Not Attended,81.33,Female,Placed
7.79,0,0,4,7,64.1,6.49,Not Attended,84.81,Male,Placed
7.65,1,0,2,2,53.17,8.97,Attended,78.63,Male,Not Placed
7.46,1,1,5,6,54.21,5.64,Attended,87.1,Male,Placed
7.17,0,0,2,7,98.24,7.18,Not Attended,72.09,Male,Placed
8.31,0,0,5,8,39.17,4.06,Attended,62.96,Male,Placed
8.54,2,0,3,6,99.3,4.91,Attended,65.66,Male,Placed
9.15,1,0,2,8,66.67,8.57,Attended,68.68,Male,Placed
8.32,0,0,3,6,64.66,7.04,Attended,74.87,Male,Placed
8.5,0,0,5,8,71.81,6.03,Attended,65.72,Female,Placed
7.57,1,0,3,5,90.09,7.83,Attended,73.49,Female,Placed
6.93,0,0,4,7,32.01,8.96,Attended,62.39,Male,Placed
7.38,0,0,4,8,95.46,9.25,Attended,75.29,Male,Placed
9.12,0,0,4,7,76.45,4.09,Attended,60.08,Male,Placed
