C_Cpp,Java,Python,HTML_CSS,UI_UX,Javascript,Numpy_Pandas,Scikit_learn,MERN,Linux,Cloud_Platforms,App_development,Number_of_Contest_attempted,LC_Contest_rating,Leetcode_Medium_problems,Skills_rating
1,1,1,0,0,1,1,1,0,0,1,0,10,1837.0,255,9.95
1,1,1,0,1,1,0,0,0,1,0,1,8,1364.0,213,7.65
0,0,0,1,0,0,1,0,1,0,0,0,48,2000.0,282,7.08
0,0,1,1,0,0,0,0,1,1,0,0,0,1500.0,168,4.49
1,0,1,0,1,1,0,0,0,1,0,0,49,1876.0,238,8.76
0,0,1,1,0,1,0,0,0,0,0,0,5,1561.0,143,4.24
0,0,0,1,0,1,0,1,0,1,0,0,0,1500.0,171,4.42
0,0,1,1,1,1,0,0,1,0,0,0,43,1684.0,184,6.96
0,1,1,1,0,1,0,0,0,0,0,0,5,1224.0,175,3.85
1,0,1,0,0,0,0,1,0,1,1,1,2,1691.0,167,7.75
0,0,0,0,0,0,0,0,0,1,0,0,0,1500.0,179,1.44
1,0,1,1,1,0,0,0,1,1,0,1,0,1500.0,210,8.05
0,1,1,1,0,0,0,0,0,1,0,0,48,1864.0,161,6.29
0,1,1,1,0,0,1,0,0,1,0,0,1,1607.0,278,7.15
0,1,0,1,0,0,0,0,1,0,0,0,48,1831.0,189,6.65
0,1,0,1,1,1,1,0,0,1,1,0,1,1608.0,166,8.33
1,1,0,0,0,1,0,1,0,0,0,1,0,1500.0,182,6.73
1,0,1,0,1,1,1,1,0,0,0,1,0,1500.0,142,7.55
1,1,0,1,0,0,0,0,1,0,0,0,3,1415.0,167,3.68
1,1,1,0,0,0,1,0,0,0,1,0,0,1500.0,153,5.46
1,1,1,1,0,1,0,0,0,0,0,0,10,1368.0,129,5.43
1,0,1,0,1,0,1,0,0,0,1,0,0,1500.0,249,7.6
0,1,1,1,0,1,1,0,1,0,0,1,29,1836.0,231,10.0
0,1,0,0,0,0,0,0,0,0,0,0,28,1871.0,211,3.86
0,0,1,1,1,1,0,0,0,0,0,0,0,1500.0,128,4.72
0,1,1,1,0,0,1,0,0,1,0,0,18,1726.0,186,6.64
0,0,1,1,0,0,0,0,0,0,0,0,32,1748.0,137,3.97
0,0,1,1,0,0,0,0,1,0,0,1,8,1267.0,155,4.69
1,1,1,1,0,1,1,0,0,0,1,0,2,1309.0,281,8.82
0,1,1,1,1,0,0,0,1,0,0,0,4,1384.0,234,6.33
0,0,1,1,1,1,1,0,1,1,1,1,22,1631.0,174,10.0
0,1,1,0,0,0,0,1,1,1,0,0,0,1500.0,140,6.11
0,1,1,1,0,0,0,0,0,1,1,0,1,1629.0,180,6.33
1,1,0,0,0,1,0,0,0,0,1,0,0,1500.0,299,6.13
0,0,1,1,0,1,0,0,0,0,0,1,3,1462.0,251,4.84
1,1,0,0,0,1,1,0,1,0,1,1,0,1500.0,116,6.76
1,0,0,0,0,0,0,0,1,1,1,1,1,1144.0,188,5.8
0,0,0,1,0,0,0,0,0,1,0,1,2,1081.0,255,2.4
0,1,1,0,0,1,0,0,1,1,1,0,0,1500.0,191,8.28
1,1,1,1,0,0,1,0,1,0,0,0,0,1500.0,246,7.86
1,0,0,0,1,1,0,0,1,0,0,1,6,1405.0,300,7.12
1,1,1,1,0,0,0,0,0,0,0,0,33,1703.0,199,6.53
1,0,1,1,0,1,0,0,1,1,0,0,1,1513.0,236,7.87
0,1,1,1,0,0,0,0,1,0,0,1,0,1500.0,172,5.74
0,1,1,1,1,0,0,0,0,0,1,0,0,1500.0,111,5.98
0,1,0,1,0,1,0,0,1,1,1,0,32,1552.0,256,9.24
1,1,1,0,0,1,1,0,0,1,1,1,6,1302.0,134,7.73
1,1,1,1,0,1,1,0,0,0,0,1,0,1500.0,183,7.31
0,0,1,1,0,1,1,0,1,0,1,0,12,1638.0,203,8.0
0,1,1,1,1,1,0,0,0,1,0,0,0,1500.0,166,6.37
0,1,1,1,0,1,0,0,1,0,1,0,0,1500.0,158,7.29
0,1,1,1,0,1,0,0,0,1,0,0,0,1500.0,198,4.33
1,0,0,0,0,1,1,1,0,0,1,0,0,1500.0,212,6.34
1,1,1,1,0,0,0,0,0,1,0,1,8,1730.0,217,7.66
1,0,0,1,0,1,1,1,0,1,1,0,5,1205.0,175,6.62
0,1,1,1,0,1,0,0,1,1,1,1,14,1474.0,163,8.84
0,1,1,1,0,1,1,0,0,0,1,1,6,1676.0,230,9.68
1,1,1,0,0,1,1,0,0,0,0,1,3,1619.0,119,7.68
1,0,1,1,0,0,0,0,0,0,1,0,6,1371.0,177,4.57
1,1,0,1,0,0,1,0,1,1,1,0,4,1663.0,281,10.0
1,1,0,1,0,0,1,0,0,0,0,1,0,1500.0,183,6.21
0,1,1,1,0,0,1,1,1,0,0,1,10,1556.0,219,9.27
0,0,1,1,0,0,1,0,0,0,0,0,45,1999.0,188,6.51
0,1,0,1,0,1,0,0,0,1,1,1,4,1384.0,240,7.29
0,1,1,0,1,1,1,0,1,1,0,0,4,1533.0,134,7.41
0,1,1,1,0,1,1,0,0,1,1,1,0,1500.0,131,8.26
0,1,0,1,1,0,0,1,0,0,0,0,36,1635.0,123,4.07
1,0,1,1,0,1,0,0,1,1,0,1,41,1777.0,155,10.0
0,0,0,1,0,1,0,0,0,0,1,1,26,1665.0,112,6.02
0,1,1,1,0,0,0,0,1,1,0,1,0,1500.0,168,6.51
1,1,0,0,0,1,1,1,1,0,0,1,37,1841.0,191,10.0
0,1,1,0,0,1,0,0,0,0,1,0,0,1500.0,207,5.37
0,1,1,1,1,0,0,1,0,0,0,0,4,1850.0,229,7.6
1,1,1,1,1,1,0,0,0,0,0,0,6,1893.0,145,7.57
0,0,1,1,0,1,0,1,1,0,0,0,28,1671.0,152,7.04
0,0,1,1,0,0,0,0,1,0,1,0,17,1841.0,256,7.66
0,0,1,0,1,1,0,0,0,0,0,0,23,1513.0,271,5.83
0,0,1,0,1,0,0,0,0,0,0,1,33,1839.0,149,5.75
1,0,0,0,0,0,1,0,0,0,0,1,5,1397.0,110,3.63
1,0,1,1,0,1,0,0,0,1,0,0,21,1592.0,217,5.84
1,1,1,1,0,0,0,0,0,1,0,1,0,1500.0,139,5.75
1,0,1,0,0,1,0,0,1,1,0,0,4,1889.0,198,7.89
1,1,1,0,0,0,0,0,1,1,0,0,0,1500.0,183,6.68
0,1,1,0,0,0,0,0,1,1,1,1,39,1781.0,145,9.16
1,0,1,1,0,1,0,0,0,1,0,0,45,1802.0,152,7.31
0,1,0,1,0,0,0,0,1,1,0,0,0,1500.0,220,5.27
1,1,1,1,0,0,0,0,1,0,0,0,6,1359.0,208,6.45
1,0,1,1,1,1,0,0,0,0,0,0,1,1344.0,171,4.75
0,1,0,1,1,1,1,0,0,0,0,0,2,1256.0,146,3.03
0,1,0,0,0,1,0,0,1,1,0,0,4,1523.0,236,5.33
0,0,1,1,0,1,1,0,1,1,0,0,0,1500.0,206,6.68
0,0,0,1,0,1,1,1,0,0,0,1,0,1500.0,197,5.74
1,1,1,0,0,1,1,0,0,0,0,0,7,1550.0,211,7.11
1,1,0,1,0,0,0,0,0,0,1,0,0,1500.0,123,4.0
0,1,1,0,0,0,1,0,1,1,1,0,8,1580.0,214,8.64
0,0,1,1,0,0,0,0,1,0,0,0,1,1458.0,255,4.59
0,0,0,1,0,0,0,1,0,0,0,0,28,1644.0,165,3.86
0,1,1,0,0,1,0,0,0,0,0,0,8,1431.0,169,3.41
0,1,1,0,1,1,1,0,1,1,0,1,12,1593.0,121,9.24
0,1,1,1,0,1,0,1,1,1,0,0,0,1500.0,227,8.48
1,0,1,0,0,0,1,0,1,1,0,0,0,1500.0,165,5.91
0,1,1,1,0,0,0,0,1,0,0,1,50,1942.0,160,8.59
0,0,1,1,0,0,1,1,0,0,0,0,4,1394.0,138,3.37
1,1,1,1,0,1,1,0,1,0,0,1,2,1427.0,152,9.03
0,0,1,1,1,0,1,0,0,0,0,0,34,2000.0,183,7.05
1,0,1,0,0,1,0,0,1,1,1,1,0,1500.0,221,9.77
1,0,1,0,1,0,1,0,0,0,1,1,6,1805.0,119,8.27
0,1,1,0,0,1,1,1,1,1,0,0,0,1500.0,180,8.76
0,0,0,0,0,1,0,0,1,0,0,0,2,1436.0,237,4.22
0,0,1,1,0,1,0,0,0,1,0,0,0,1500.0,180,5.7
0,1,1,0,0,0,1,0,0,0,0,1,0,1500.0,204,6.09
0,0,0,0,0,0,0,0,0,0,0,0,3,1369.0,193,0.91
1,0,0,0,1,0,1,1,1,1,0,1,22,1663.0,202,9.56
0,0,1,0,0,1,0,0,1,1,0,1,44,2000.0,196,10.0
0,0,0,0,0,0,0,0,1,0,0,0,9,1533.0,194,2.38
0,1,1,1,1,0,0,0,0,1,0,1,3,1533.0,195,7.03
1,1,0,0,0,1,0,0,0,0,0,0,20,1551.0,140,4.44
0,1,1,0,0,1,0,1,0,0,0,0,6,1334.0,195,5.28
0,0,1,0,0,1,1,0,0,1,0,0,2,1584.0,116,4.5
0,0,1,1,0,1,0,0,0,0,0,0,0,1500.0,202,4.05
1,0,0,1,0,1,1,0,1,0,0,0,23,1709.0,192,6.95
0,1,1,0,0,1,1,1,0,1,0,0,6,1608.0,140,6.77
1,1,1,1,0,1,0,0,1,1,0,1,46,1653.0,110,10.0
1,0,1,0,0,0,0,0,0,0,1,1,24,1964.0,174,7.56
0,1,0,1,0,1,0,0,0,0,0,1,4,1527.0,172,4.49
1,1,0,1,0,1,0,0,0,0,0,1,16,1338.0,141,4.47
0,0,1,1,0,0,0,1,0,0,0,1,4,1638.0,175,5.23
1,1,1,1,1,1,0,0,1,1,0,0,0,1500.0,213,8.47
1,1,1,1,0,0,1,1,0,0,0,0,6,1453.0,138,5.25
0,1,1,1,1,0,0,0,0,0,0,0,33,1784.0,171,5.33
0,1,0,1,0,1,0,0,1,1,1,0,31,1688.0,169,8.37
1,0,1,1,0,1,1,1,1,1,1,1,7,1505.0,182,10.0
0,1,1,1,0,1,1,0,0,1,0,1,3,1472.0,258,7.49
0,1,1,1,1,0,1,0,0,0,0,1,0,1500.0,158,6.47
0,1,1,1,0,1,1,0,0,1,0,0,1,1209.0,206,6.16
1,0,1,0,1,0,0,1,0,0,1,0,49,2000.0,150,8.74
1,1,1,1,1,0,1,0,0,0,0,1,14,1606.0,203,7.84
0,0,1,1,0,0,1,0,1,1,0,0,13,1646.0,211,7.02
0,1,1,0,0,0,0,0,0,0,0,0,19,1762.0,145,4.34
0,1,1,1,0,0,0,0,0,1,0,1,9,1558.0,125,5.18
1,1,1,0,0,1,0,0,0,0,0,0,8,1579.0,139,5.34
0,0,1,0,0,1,0,0,1,1,0,1,4,1269.0,148,5.57
1,0,0,1,1,1,0,1,0,0,0,1,4,1365.0,196,6.97
0,1,1,1,0,1,0,0,0,1,0,0,33,1792.0,133,5.92
1,1,1,1,0,0,0,0,0,1,1,0,3,1507.0,120,5.48
0,0,0,1,0,1,0,1,0,1,0,1,29,1800.0,184,7.21
0,1,1,1,1,1,0,0,0,0,0,1,29,1950.0,208,8.59
0,0,1,1,0,0,1,0,0,1,0,0,20,1635.0,145,5.78
1,1,1,0,1,1,0,0,0,0,1,0,0,1500.0,165,7.07
1,0,1,1,1,0,0,0,0,0,0,0,0,1500.0,226,4.5
0,0,1,1,0,0,0,0,0,1,0,1,1,1514.0,194,5.59
1,0,1,0,0,1,0,0,1,0,0,0,30,1758.0,173,7.01
1,0,0,1,0,1,0,0,0,0,1,0,34,1752.0,155,6.03
1,1,0,1,0,1,0,1,1,1,0,0,0,1500.0,148,6.99
0,0,1,1,0,0,1,0,0,0,0,0,1,1428.0,331,5.12
0,1,1,1,0,1,0,0,1,1,0,1,31,1642.0,142,9.17
0,1,1,0,0,1,0,0,0,1,0,1,0,1500.0,201,6.55
1,0,1,1,0,1,0,0,0,0,1,0,47,1902.0,137,8.42
1,0,1,1,0,0,0,0,1,0,0,0,5,1467.0,198,5.77
1,0,0,1,0,0,1,0,1,1,0,0,42,1847.0,332,8.83
0,1,1,1,0,1,0,0,1,1,1,0,4,1228.0,312,9.83
0,0,0,1,1,0,1,0,1,0,0,1,1,1445.0,269,7.49
1,0,0,0,0,0,0,0,0,0,0,0,2,1338.0,197,2.02
1,1,0,0,0,0,1,0,0,0,0,0,35,1790.0,160,5.16
1,1,1,1,1,1,1,0,0,1,0,0,1,1295.0,234,7.38
1,1,1,1,1,1,1,0,0,1,0,0,10,1557.0,264,9.32
1,1,1,0,0,0,1,1,1,0,0,0,5,1455.0,205,7.81
0,0,1,1,0,0,0,1,0,1,0,1,43,1786.0,119,7.62
0,0,1,1,0,1,1,0,1,1,0,0,0,1500.0,194,6.96
1,0,1,1,0,0,0,0,0,0,0,0,4,1533.0,196,4.23
1,0,1,1,1,1,1,0,0,1,0,1,0,1500.0,156,7.79
0,1,1,1,0,0,0,0,0,1,0,1,7,1576.0,297,7.24
0,0,0,0,1,0,1,0,0,1,0,0,3,1472.0,298,4.89
1,1,1,0,0,0,1,0,1,0,0,0,0,1500.0,212,6.68
0,0,1,1,0,1,0,0,1,0,0,0,30,1835.0,295,7.85
0,1,1,1,0,1,1,0,0,1,0,0,2,1408.0,117,4.99
0,0,0,0,0,0,1,0,1,0,1,1,5,1559.0,197,7.04
1,1,1,1,0,0,0,1,0,0,0,0,3,1473.0,283,6.83
1,1,1,0,0,0,0,0,1,0,0,0,5,1350.0,321,6.9
0,0,1,1,0,1,0,0,0,1,1,1,0,1500.0,173,7.6
1,1,0,1,1,0,0,0,0,0,1,1,26,1589.0,202,7.66
0,0,0,1,0,0,0,1,0,1,0,0,1,1634.0,247,5.13
0,1,1,0,1,1,0,0,0,0,0,0,14,1826.0,243,7.19
1,0,1,1,0,1,0,0,0,1,1,0,0,1500.0,214,6.98
1,1,1,1,1,0,0,0,0,0,0,1,6,1616.0,141,7.92
1,1,1,1,1,0,0,0,0,0,1,0,38,1742.0,120,9.0
1,1,1,0,0,1,1,1,0,0,1,0,3,1694.0,147,9.33
1,1,0,0,1,1,0,0,1,1,0,0,0,1500.0,222,6.7
0,1,0,0,0,0,1,1,1,0,1,0,0,1500.0,124,6.2
0,1,1,0,1,1,0,0,1,1,0,0,32,1861.0,148,8.59
0,1,1,1,0,1,0,0,0,1,1,1,0,1500.0,194,8.65
0,1,1,1,0,1,0,0,0,0,0,1,47,1970.0,153,8.54
1,0,0,1,0,0,1,1,0,1,0,1,0,1500.0,132,5.76
0,0,0,1,0,1,1,0,0,0,0,0,5,1776.0,277,6.61
1,1,1,0,0,1,1,0,0,1,0,0,4,1361.0,178,5.89
1,0,1,0,1,0,0,0,0,0,1,0,0,1500.0,129,5.52
1,0,1,1,0,1,1,0,0,1,0,0,6,1625.0,293,8.54
0,1,1,0,0,0,0,0,0,1,0,0,10,1427.0,196,4.19
1,0,0,0,1,0,1,0,0,0,0,1,16,1519.0,179,4.6
0,1,1,1,1,0,0,0,1,0,1,1,6,1900.0,172,10.0
0,1,0,1,0,1,0,0,1,0,0,1,26,1785.0,211,9.06
1,1,1,1,0,1,0,0,0,1,1,0,17,1897.0,150,9.45
0,0,0,1,0,1,1,0,0,0,0,0,0,1500.0,179,4.01
0,0,1,1,1,1,0,0,1,0,0,1,3,1561.0,128,6.93
1,1,0,1,1,0,0,0,1,0,1,1,0,1500.0,189,9.04
0,1,1,1,0,0,0,1,1,1,0,0,0,1500.0,174,6.57
1,0,1,0,0,1,1,0,0,0,0,0,12,1630.0,129,5.54
1,1,1,1,1,1,0,0,0,0,1,0,6,1416.0,300,7.42
1,1,1,1,1,0,1,1,0,1,0,1,8,1676.0,160,9.48
0,0,1,0,1,0,1,0,1,1,0,0,15,1603.0,179,6.27
0,0,1,1,0,0,1,0,1,1,1,0,0,1500.0,272,8.33
1,0,0,1,0,0,1,0,0,0,0,0,3,1492.0,320,4.19
0,0,1,0,0,0,1,0,0,0,1,1,8,1490.0,187,5.45
1,0,0,1,0,1,0,1,0,0,0,0,0,1500.0,112,3.63
1,1,0,0,1,0,0,0,1,0,0,0,28,1714.0,190,6.35
1,1,1,1,0,0,0,0,1,0,0,1,2,1473.0,229,6.95
0,1,1,1,1,1,0,1,0,1,1,0,9,1558.0,252,9.36
0,0,1,1,0,1,0,0,0,1,1,0,50,1942.0,183,8.27
1,0,1,1,1,0,1,0,0,1,0,1,5,1266.0,194,7.0
0,1,1,0,0,1,0,0,1,0,0,1,0,1500.0,145,7.67
0,0,0,0,0,0,1,0,1,1,0,0,0,1500.0,311,6.14
1,1,1,0,0,1,0,0,0,0,0,1,0,1500.0,298,7.0
1,1,1,0,0,1,0,0,0,0,1,0,19,1721.0,161,7.58
1,1,1,1,1,1,0,0,0,0,0,1,0,1500.0,120,6.8
1,1,0,0,0,0,0,0,0,0,1,1,0,1500.0,161,5.04
0,0,1,0,0,1,1,0,0,0,0,0,12,1551.0,292,5.62
1,1,1,0,1,1,0,1,0,0,0,1,1,962.0,192,6.13
1,0,1,0,1,0,0,0,1,0,0,1,8,1291.0,185,4.8
0,0,1,1,0,0,1,0,1,0,0,1,3,1408.0,146,5.34
0,1,0,1,1,1,0,0,0,0,0,0,1,1651.0,260,5.6
1,0,0,0,0,1,0,0,0,1,1,0,5,1591.0,325,8.01
1,1,1,1,0,0,0,0,0,1,0,0,1,1356.0,220,5.36
1,1,1,1,0,1,0,1,1,1,0,0,33,1751.0,134,10.0
1,1,1,0,0,0,0,0,1,1,0,0,0,1500.0,173,5.97
0,0,1,1,0,0,1,0,0,1,1,0,0,1500.0,111,5.93
0,1,1,1,0,1,0,0,0,1,1,1,3,1645.0,208,9.16
1,1,1,1,0,0,0,0,0,1,0,0,0,1500.0,181,5.62
1,1,1,0,1,0,0,0,0,1,1,0,16,1517.0,203,7.61
1,1,0,1,0,0,0,0,0,1,0,0,2,1307.0,204,3.78
1,0,1,0,1,1,1,0,0,0,0,0,0,1500.0,112,4.68
0,1,0,1,1,0,0,0,0,1,1,1,2,1602.0,195,8.21
0,1,1,1,0,1,1,0,0,1,0,0,0,1500.0,172,6.08
1,1,1,1,0,0,0,0,1,0,0,0,0,1500.0,165,5.28
1,1,0,0,0,1,1,1,0,0,1,1,7,1687.0,166,9.33
1,0,1,1,1,0,0,1,1,0,0,0,32,1679.0,201,9.4
1,1,1,0,0,1,0,0,0,1,0,0,2,1543.0,266,6.33
1,0,1,0,0,1,0,0,0,1,0,0,1,1453.0,233,4.87
0,1,1,0,1,0,0,0,0,0,0,0,21,1571.0,220,5.03
0,1,0,0,0,0,0,1,0,0,1,1,0,1500.0,136,4.6
0,0,0,1,0,0,0,1,0,1,1,0,1,1635.0,255,5.52
1,1,1,1,0,0,1,1,0,1,0,0,4,1390.0,184,7.64
0,0,1,0,1,0,0,0,0,0,1,0,8,1643.0,176,5.03
0,0,1,0,1,1,0,0,1,1,0,0,0,1500.0,244,6.21
0,1,1,0,0,1,1,0,0,0,0,0,4,1500.0,130,4.42
0,1,1,0,0,0,0,0,0,0,0,0,7,1494.0,216,3.2
1,0,1,0,1,0,1,0,1,1,0,0,6,1426.0,269,7.62
0,1,1,1,1,0,0,0,1,1,1,1,7,1372.0,137,8.7
0,1,1,0,1,0,0,0,0,0,1,1,10,1512.0,140,5.27
1,1,1,0,0,1,0,0,0,0,1,0,2,1393.0,179,6.57
0,1,1,0,1,1,1,0,0,0,0,1,0,1500.0,139,6.63
0,0,1,1,0,0,1,1,0,1,1,1,0,1500.0,171,7.89
0,1,0,0,0,0,1,0,0,1,0,1,32,1783.0,225,7.46
1,1,0,0,0,1,0,1,0,0,0,0,10,1370.0,198,4.14
0,0,1,1,0,0,1,1,1,0,1,1,19,1617.0,114,9.03
1,1,1,0,1,0,0,0,0,0,0,1,41,1920.0,240,8.29
0,1,0,1,0,1,0,0,0,1,0,1,17,1519.0,187,6.26
0,0,0,0,1,1,1,0,0,0,0,1,10,1661.0,182,6.26
0,1,0,1,0,0,0,0,0,0,1,0,9,1667.0,133,4.47
0,0,1,1,0,1,0,0,0,1,0,0,0,1500.0,280,5.31
1,0,0,1,0,0,0,1,0,0,0,1,45,1718.0,265,6.58
1,1,1,0,0,1,1,0,0,0,0,0,7,1406.0,176,5.3
1,1,0,1,0,0,0,0,1,0,0,0,0,1500.0,182,4.84
0,1,0,0,0,1,0,1,0,1,0,0,0,1500.0,208,4.79
0,1,1,0,0,1,1,0,0,1,0,0,26,1508.0,245,6.77
1,0,0,0,0,0,0,0,1,0,0,0,0,1500.0,194,2.68
0,0,1,1,1,1,0,0,1,0,0,1,0,1500.0,207,7.0
0,1,0,0,0,1,0,0,0,0,0,1,4,1553.0,267,4.43
0,0,1,0,0,0,1,0,1,0,0,0,26,1729.0,115,5.42
0,0,0,1,0,1,0,0,0,0,1,0,3,1239.0,119,2.33
1,0,1,1,1,1,0,0,0,0,0,0,24,1592.0,142,5.72
1,1,0,1,0,1,0,0,0,1,0,0,27,1766.0,231,6.93
1,1,1,0,0,0,0,0,0,1,1,1,32,1786.0,136,8.35
0,1,1,1,1,0,0,0,0,1,0,0,8,1711.0,215,6.41
0,0,1,1,0,0,0,0,0,1,0,0,10,1377.0,119,2.28
0,1,0,0,0,0,0,0,1,1,0,0,0,1500.0,232,4.7
0,0,1,1,1,1,1,0,0,1,0,1,0,1500.0,144,7.96
0,1,1,0,0,0,1,0,0,1,0,0,6,1508.0,134,4.4
1,1,1,0,0,0,1,0,0,0,1,0,0,1500.0,192,6.12
1,1,0,1,0,0,1,0,1,0,0,1,5,1349.0,223,6.7
0,0,1,0,1,0,0,1,1,0,0,0,0,1500.0,164,5.09
1,1,1,1,0,1,0,0,0,1,1,0,0,1500.0,159,7.24
1,0,1,1,0,1,1,0,1,0,0,1,33,1796.0,213,9.98
1,1,1,0,0,0,0,0,1,0,0,1,9,1512.0,193,7.2
1,1,1,1,1,0,1,1,1,1,0,1,9,1580.0,142,10.0
0,1,1,0,0,0,0,0,0,0,0,1,3,1418.0,107,3.65
0,1,0,1,0,0,0,0,0,1,0,0,3,1594.0,145,3.84
0,1,0,1,0,0,0,0,0,0,0,1,1,1352.0,265,3.7
1,1,1,0,0,1,0,0,1,1,1,0,4,1337.0,195,7.39
0,1,1,1,1,0,0,0,1,1,0,0,8,1563.0,108,7.38
0,1,1,0,0,1,0,1,1,1,1,0,0,1500.0,225,8.32
0,0,1,1,1,0,0,0,0,0,0,1,0,1500.0,140,4.03
0,0,0,0,0,0,0,0,0,1,0,0,5,1778.0,260,2.9
1,1,1,1,1,1,0,0,0,0,0,0,3,1251.0,116,4.83
1,0,1,1,0,1,1,0,0,0,0,0,26,1538.0,185,5.64
0,0,1,1,0,1,0,0,0,0,0,0,27,1754.0,111,5.03
0,1,0,1,1,1,0,0,0,1,1,0,1,1629.0,158,6.93
0,0,1,0,1,0,0,0,1,0,1,0,4,1535.0,255,7.53
0,0,1,1,0,1,1,1,0,0,0,0,47,1828.0,214,8.44
0,1,1,1,0,0,0,0,1,0,0,1,27,1783.0,218,8.93
0,1,0,1,0,1,1,0,1,0,0,0,0,1500.0,264,6.2
0,0,0,0,1,0,0,0,0,0,1,1,0,1500.0,298,5.97
1,1,1,0,0,0,0,1,0,0,0,0,0,1500.0,223,5.36
1,1,1,1,0,1,0,0,1,1,0,0,10,1627.0,128,8.01
0,1,0,1,0,0,0,0,1,0,0,1,1,1357.0,137,4.58
0,1,1,1,1,0,0,0,0,0,0,1,6,1633.0,152,6.17
1,0,1,0,0,0,1,0,0,1,0,0,20,1644.0,205,5.43
0,0,1,1,0,1,0,0,0,0,1,1,29,1477.0,104,5.78
1,0,1,1,0,1,1,0,0,0,0,0,1,1439.0,144,4.29
1,1,1,0,0,1,1,0,0,0,0,0,0,1500.0,222,6.58
0,1,0,0,0,1,1,0,1,1,1,0,30,1664.0,208,8.96
0,1,1,1,1,1,0,1,0,1,0,0,3,1675.0,198,8.12
1,1,1,0,1,0,1,0,0,0,1,0,27,1520.0,195,7.97
0,1,0,1,0,0,0,0,1,0,0,0,0,1500.0,189,3.87
1,0,1,0,1,1,0,1,0,0,0,0,39,1767.0,172,8.15
1,0,1,1,0,0,1,0,1,0,0,1,5,1538.0,191,7.85
1,1,1,1,0,0,0,0,0,0,0,0,0,1500.0,198,4.94
0,0,0,0,1,0,1,0,0,1,0,0,6,1872.0,177,4.77
1,1,0,1,0,1,0,1,0,0,0,1,33,2000.0,247,10.0
0,1,0,1,0,0,0,0,0,1,0,0,3,1473.0,187,3.47
0,0,0,1,1,1,0,1,1,0,1,0,0,1500.0,154,6.53
1,1,1,0,0,1,0,0,1,1,0,1,7,1572.0,203,8.83
0,0,1,1,1,1,0,0,1,0,0,0,28,1820.0,257,8.42
1,0,0,0,1,1,0,0,0,1,0,0,0,1500.0,270,5.85
1,1,1,1,0,0,1,0,1,1,1,0,0,1500.0,175,8.94
0,0,1,1,0,1,1,0,0,1,0,1,0,1500.0,191,6.95
0,1,1,1,0,1,1,1,0,0,0,1,0,1500.0,167,8.52
0,1,1,1,0,1,1,0,0,0,0,0,0,1500.0,129,4.63
0,1,0,0,0,1,0,0,0,1,1,0,4,1338.0,211,4.98
